"Step","effortless-fog-273 - total_reward_actor_0","effortless-fog-273 - total_reward_actor_0__MIN","effortless-fog-273 - total_reward_actor_0__MAX"
"13484","870","870","870"
"13532","580","580","580"
"13548","240","240","240"
"13580","210","210","210"
"13623","420","420","420"
"13644","420","420","420"
"13676","240","240","240"
"13709","380","380","380"
"13725","330","330","330"
"13773","470","470","470"
"13805","490","490","490"
"13853","680","680","680"
"13885","460","460","460"
"13933","480","480","480"
"13965","510","510","510"
"13997","440","440","440"
"14030","420","420","420"
"14062","500","500","500"
"14078","350","350","350"
"14126","280","280","280"
"14158","350","350","350"
"14190","340","340","340"
"14226","240","240","240"
"14270","710","710","710"
"14303","550","550","550"
"14334","210","210","210"
"14426","680","680","680"
"14460","500","500","500"
"14494","260","260","260"
"14528","390","390","390"
"14562","510","510","510"
"14596","560","560","560"
"14630","640","640","640"
"14664","390","390","390"
"14698","380","380","380"
"14732","320","320","320"
"14764","540","540","540"
"14780","210","210","210"
"14812","540","540","540"
"14844","350","350","350"
"14876","300","300","300"
"14908","460","460","460"
"14940","780","780","780"
"15004","640","640","640"
"15038","290","290","290"
"15072","430","430","430"
"15120","410","410","410"
"15152","320","320","320"
"15184","430","430","430"
"15216","420","420","420"
"15248","560","560","560"
"15264","320","320","320"
"15296","520","520","520"
"15328","780","780","780"
"15360","480","480","480"
"15412","440","440","440"
"15444","610","610","610"
"15476","340","340","340"
"15508","300","300","300"
"15540","560","560","560"
"15572","420","420","420"
"15604","300","300","300"
"15636","420","420","420"
"15668","490","490","490"
"15716","480","480","480"
"15733","300","300","300"
"15765","550","550","550"
"15797","630","630","630"
"15829","320","320","320"
"15845","220","220","220"
"15877","420","420","420"
"15909","480","480","480"
"15925","370","370","370"
"15957","230","230","230"
"15989","230","230","230"
"16058","770","770","770"
"16092","570","570","570"
"16124","620","620","620"
"16140","210","210","210"
"16172","800","800","800"
"16204","650","650","650"
"16236","320","320","320"
"16268","610","610","610"
"16300","340","340","340"
"16316","240","240","240"
"16348","800","800","800"
"16398","330","330","330"
"16432","480","480","480"
"16464","480","480","480"
"16512","710","710","710"
"16544","410","410","410"
"16576","370","370","370"
"16608","270","270","270"
"16640","590","590","590"
"16672","510","510","510"
"16704","230","230","230"
"16755","620","620","620"
"16788","430","430","430"
"16820","620","620","620"
"16852","460","460","460"
"16868","360","360","360"
"16900","460","460","460"
"16932","620","620","620"
"16952","240","240","240"
"16996","680","680","680"
"17028","560","560","560"
"17078","580","580","580"
"17112","470","470","470"
"17146","470","470","470"
"17176","320","320","320"
"17208","330","330","330"
"17240","320","320","320"
"17286","300","300","300"
"17320","930","930","930"
"17352","310","310","310"
"17384","450","450","450"
"17435","590","590","590"
"17468","450","450","450"
"17516","750","750","750"
"17548","210","210","210"
"17580","650","650","650"
"17612","360","360","360"
"17644","220","220","220"
"17676","500","500","500"
"17692","210","210","210"
"17735","570","570","570"
"17756","360","360","360"
"17809","420","420","420"
"17843","510","510","510"
"17877","320","320","320"
"17911","370","370","370"
"17945","400","400","400"
"17967","500","500","500"
"18013","640","640","640"
"18030","540","540","540"
"18064","400","400","400"
"18112","470","470","470"
"18148","380","380","380"
"18164","320","320","320"
"18196","310","310","310"
"18228","410","410","410"
"18260","210","210","210"
"18292","760","760","760"
"18308","400","400","400"
"18340","520","520","520"
"18372","510","510","510"
"18398","500","500","500"
"18455","430","430","430"
"18472","210","210","210"
"18493","600","600","600"
"18520","240","240","240"
"18552","240","240","240"
"18568","460","460","460"
"18600","480","480","480"
"18648","560","560","560"
"18674","390","390","390"
"18712","600","600","600"
"18728","430","430","430"
"18776","700","700","700"
"18793","210","210","210"
"18810","290","290","290"
"18841","550","550","550"
"18857","200","200","200"
"18889","300","300","300"
"18921","330","330","330"
"18953","580","580","580"
"18985","260","260","260"
"19027","750","750","750"
"19049","380","380","380"
"19081","490","490","490"
"19130","900","900","900"
"19146","390","390","390"
"19178","310","310","310"
"19210","230","230","230"
"19242","280","280","280"
"19271","420","420","420"
"19295","430","430","430"
"19335","420","420","420"
"19356","390","390","390"
"19402","560","560","560"
"19492","420","420","420"
"19535","520","520","520"
"19556","250","250","250"
"19588","340","340","340"
"19620","410","410","410"
"19652","380","380","380"
"19684","440","440","440"
"19710","340","340","340"
"19748","450","450","450"
"19787","370","370","370"
"19829","470","470","470"
"19845","240","240","240"
"19877","180","180","180"
"19909","590","590","590"
"19941","280","280","280"
"19973","600","600","600"
"19989","200","200","200"
"20037","300","300","300"
"20069","630","630","630"
"20101","430","430","430"
"20172","320","320","320"
"20204","590","590","590"
"20236","440","440","440"
"20268","330","330","330"
"20300","630","630","630"
"20337","420","420","420"
"20380","230","230","230"
"20412","500","500","500"
"20444","370","370","370"
"20501","450","450","450"
"20544","390","390","390"
"20576","650","650","650"
"20640","600","600","600"
"20672","750","750","750"
"20688","230","230","230"
"20736","590","590","590"
"20752","240","240","240"
